Unnamed: 0,tickers,market,name,BPS,PER,PBR,EPS,DIV,DPS,티커,상장주식수,외_보유수량,외_지분율,외_한도수량,외_한도소진율,mmt,naverTheme,시가총액,-1,0,1,종가
43,37370,KOSDAQ,EG,0.0,0.0,0.0,0.0,0.0,0.0,37370,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['2차전지(LFP/리튬인산철)', '희귀금속(희토류 등)', '수소차(연료전지/부품/충전소 등)', '페라이트']",0.0485,0.064,0.934,0.002,5630.0
44,365550,KOSPI,ESR켄달스퀘어리츠,0.0,0.0,0.0,0.0,0.0,0.0,365550,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['리츠(REITs)', '쿠팡(coupang)']",0.1,0.042,0.958,0.0,
45,383220,KOSPI,F&F,0.0,0.0,0.0,0.0,0.0,0.0,383220,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['코리아 밸류업 지수(Korea Value-up Index)', '밸류업(25년 기업가치 제고계획 발표)', '패션/의류', '지주사']",2.5206,0.0,,1.0,65800.0
46,7700,KOSPI,F&F홀딩스,0.0,0.0,0.0,0.0,0.0,0.0,7700,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['지주사'],0.7842,0.001,0.197,0.802,20050.0
47,214270,KOSDAQ,FSN,0.0,0.0,0.0,0.0,0.0,0.0,214270,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['NFT(대체불가토큰)', '광고', '가상화폐(비트코인 등)']",0.0791,0.166,0.259,0.574,1812.0
48,130500,KOSDAQ,GH신소재,0.0,0.0,0.0,0.0,0.0,0.0,130500,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['자동차부품', '코로나19(음압병실/음압구급차)']",0.0375,0.344,0.375,0.281,2585.0
49,114090,KOSPI,GKL,0.0,0.0,0.0,0.0,0.0,0.0,114090,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['카지노'],0.8319,0.006,0.012,0.982,13450.0
50,900290,KOSDAQ,GRT,0.0,0.0,0.0,0.0,0.0,0.0,900290,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,['국내 상장 중국기업'],0.2599,0.001,0.982,0.018,3215.0
51,78930,KOSPI,GS,0.0,0.0,0.0,0.0,0.0,0.0,78930,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['정유', '종합상사', '자원개발', 'UAM(도심항공모빌리티)', '윤활유', 'LNG(액화천연가스)', '인터넷은행', '건설 대표주', '소매유통', '냉각시스템(액침냉각 등)', '홈쇼핑', '밸류업(25년 기업가치 제고계획 발표)', '모듈러주택', 'LPG(액화석유가스)', '지주사', '콜드체인(저온 유통)', '수자원(양적/질적 개선)', 'GTX(수도권 광역급행철도)', '원자력발전', '호텔/리조트', '반도체 장비', '편의점']",5.6492,0.002,0.093,0.905,60800.0
52,83450,KOSDAQ,GST,0.0,0.0,0.0,0.0,0.0,0.0,83450,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['냉각시스템(액침냉각 등)', '콜드체인(저온 유통)', '반도체 장비']",0.5068,0.0,0.002,0.998,27500.0
53,6360,KOSPI,GS건설,0.0,0.0,0.0,0.0,0.0,0.0,6360,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['건설 대표주', '모듈러주택', '수자원(양적/질적 개선)', 'GTX(수도권 광역급행철도)', '원자력발전']",1.6217,0.0,0.002,0.998,18950.0
54,1250,KOSPI,GS글로벌,0.0,0.0,0.0,0.0,0.0,0.0,1250,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['종합상사', '자원개발']",0.191,0.003,0.965,0.032,2315.0
55,7070,KOSPI,GS리테일,0.0,0.0,0.0,0.0,0.0,0.0,7070,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['인터넷은행', '소매유통', '홈쇼핑', '편의점']",1.7473,0.006,0.43,0.564,20900.0
56,499790,KOSPI,GS피앤엘,0.0,0.0,0.0,0.0,0.0,0.0,499790,1000000.0,100000.0,10.0,500000.0,20.0,,"['지주사', '호텔/리조트']",0.8785,,,,44300.0
57,297890,KOSDAQ,HB솔루션,0.0,0.0,0.0,0.0,0.0,0.0,297890,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['플렉서블 디스플레이', 'OLED(유기 발광 다이오드)']",0.1568,1.0,,0.0,2145.0
58,440290,KOSDAQ,HB인베스트먼트,0.0,0.0,0.0,0.0,0.0,0.0,440290,1000000.0,100000.0,10.0,500000.0,20.0,,['창투사'],0.0547,,,,1990.0
59,78150,KOSDAQ,HB테크놀러지,0.0,0.0,0.0,0.0,0.0,0.0,78150,1000000.0,100000.0,10.0,500000.0,20.0,dn/dnk,"['2차전지(장비)', '2차전지', '유리 기판', 'OLED(유기 발광 다이오드)']",0.1751,0.989,0.011,0.0,1889.0
60,225530,KOSDAQ,HC보광산업,0.0,0.0,0.0,0.0,0.0,0.0,225530,1000000.0,100000.0,10.0,500000.0,20.0,,"['아스콘(아스팔트 콘크리트)', '시멘트/레미콘']",0.1006,,,,2770.0
61,60560,KOSDAQ,HC홈센타,0.0,0.0,0.0,0.0,0.0,0.0,60560,1000000.0,100000.0,10.0,500000.0,20.0,,"['아스콘(아스팔트 콘크리트)', '시멘트/레미콘', '4대강 복원']",0.0902,,,,711.0
